item_no,title,variable,sentence1,sentence2,question,left_anchor,right_anchor
1,Online Yoga Classes,Online Yoga Class,"A study was conducted to investigate the effectiveness of x online yoga classes. For each class, y people were surveyed.","The graph shows, for each online yoga class, the number of people who felt more flexible after the class.",How effective were the yoga classes at improving flexibility?,Very ineffective,Very effective
2,University Courses,University Course,"A study was conducted to investigate student satisfaction in x university courses. y students from each course participated in the survey.
","The graph shows, for each university course, the number of students who gave their course positive feedback.",How satisfied were students with their courses?,Very dissatisfied,Very satisfied
3,Online Exercise Classes,Online Exercise Class,"A study was conducted to investigate the effectiveness of x online exercise classes. For each class, y people were surveyed.","The graph shows, for each online exercise class, the number of people who noticed improvements to their fitness.",How effective were the exercise classes at improving fitness?,Very ineffective,Very effective
4,Employee Performance,Finance Company,"A study was conducted to investigate the performance of employees at x finance companies. For each company, y employees were assessed.","The graph shows, for each company, how many employees achieved their performance targets.",How well did the employees perform? ,Very poorly,Very well
5,Fitness Apps,Fitness App,A study was conducted to investigate the efficacy of x fitness apps. Each app was used by y people.,"The graph shows, for each fitness app, the number of people who still used the app after six months.",How well did the apps retain users?,Very poorly,Very well
6,Board Games,Board Game,A study was conducted to investigate the enjoyability of x new board games. Each game was tested by y people.,"The graph shows, for each board game, the number of people who said they would play it again.",How enjoyable did people find the board games?,Very unenjoyable,Very enjoyable
7,Ski Jackets,Ski Jacket,A study was conducted to investigate customers’ experiences of x ski jackets. Each jacket was reviewed by y customers.,"The graph shows, for each ski jacket, the number of customers who gave the jacket positive feedback.",How satisfied were customers with the ski jackets?,Very dissatisfied,Very satisfied
8,Delivery Companies,Delivery Company,A study was conducted to investigate the performance of x delivery companies. Each company delivered y packages.,"The graph shows, for each delivery company, the number of packages that were delivered safely. ",How careful were the delivery companies when delivering packages?,Very careless,Very careful
9,Allergy Medications,Allergy Medication,A study was conducted to investigate the efficacy of x allergy medications. Each medication was trialled by y people.,"The graph shows, for each allergy medication, the number of people whose allergies subsided. ",How effective were the allergy medications?,Very ineffective,Very effective
10,Smoking Cessation Courses,Course,A study was conducted to investigate the effectiveness of x smoking cessation courses. Each course had y smokers enrolled.,"The graph shows, for each smoking cessation course, the number of people who stopped smoking permanently.",How effective were the courses at helping people stop smoking?,Very ineffective ,Very effective
11,Eczema Medications,Eczema Medication,A study was conducted to investigate the efficacy of x eczema medications. Each medication was trialled by y people.,"The graph shows, for each eczema medication, the number of people whose eczema symptoms improved.",How effective were the eczema medications?,Very ineffective ,Very effective
12,Public Transport,Town,A study was conducted to investigate the popularity of public transport in x towns. y people from each town participated in the survey.,"The graph shows, for each town, how many people used public transport regularly. ",How popular was public transport in these towns?,Very unpopular,Very popular
13,Road Sign Fonts,Road Sign Font,A study was conducted to investigate the legibility of x different road sign fonts. Each font was tested by y drivers.,"The graph shows, for each road sign font, how many people were able to read the writing clearly.",How legibile were the road sign fonts?,Very illegible,Very legible
14,Manufacturing Methods,Manufacturing Method,A study was conducted to investigate x manufacturing methods. Each method was used to produce y items.,"The graph shows, for each manufacturing method, how many of the items were free from defects.",How successful were the manufacturing methods?,Very unsuccessful,Very successful
15,Educational Qualifications,Tech Company,"A study was conducted to investigate educational qualifications in x tech companies. For each company, y employees were assessed.","The graph shows, for each tech company, the number of employees who had a master's degree.",How common was it for employees to have a master's degree?,Very uncommon,Very common
16,Novice Computer Programmers,Programmer,A study was conducted to investigate the aptitude of x novice computer programmers. Each programmer answered y questions.,"The graph shows, for each programmer, the number of questions answered correctly.",How well did the novice computer programmers perform?,Very poorly,Very well
17,Employee Satisfaction,Consultation Company,"A study was conducted to investigate employee satisfaction at x consultancy companies. For each company, y employees were assessed.","The graph shows, for each company, the number of employees who were satisfied with their employers. ",How satisfied were employees at these companies?,Very dissatisfied,Very satisfied
18,TV Programmes,TV Programme,A study was conducted to investigate opinions on x different TV programmes. Each programme was watched by y people.,"The graph shows, for each TV programme, the number of people who enjoyed the programme.",How enjoyable did people find the TV programmes?,Very unenjoyable,Very enjoyable 
19,Exam Study Apps,Exam Study App,A study was conducted to investigate the efficacy of x exam study apps. Each app was tested by y students.,"The graph shows, for each exam study app, the number of students who found the app useful.",How successful were the study apps?,Very unsuccessful ,Very successful
20,Dating Apps,Dating App,"A study was conducted to investigate the efficacy of x dating apps. For each app, y users were studied.","The graph shows, for each dating app, the number of users who formed relationships with other app users.",How successful were the dating apps?,Very unsuccessful,Very successful
21,Productivity Courses,Productivity Course,A study was conducted to investigate the effectiveness of x productivity courses. Each course was attended by y people.,"The graph shows, for each course, the number of people who reported that their productivity improved.",How effective were the productivity courses?,Very ineffective,Very effective
22,Fizzy Drinks,Fizzy Drink,A study was conducted to investigate opinions on x fizzy drinks. Each drink was tested by y people.,"The graph shows, for each fizzy drink, the number of people who said they enjoyed the drink. ",How enjoyable did people find the fizzy drinks?,Very unenjoyable,Very enjoyable
23,Fast-Food Chains,Fast-Food Chain,"A study was conducted to investigate food hygiene at x fast-food chains. For each fast-food chain, y restaurants were investigated.","The graph shows, for each fast-food chain, the number of restaurants where no hygiene issues were identified.",How hygienic were the fast-food chains?,Very unhygienic,Very hygienic
24,Psychology Students,Psychology Student,A study was conducted to investigate the aptitude of x psychology students. Each student answered y questions.,"The graph shows, for each psychology student, the number of questions answered correctly.",How competent were the psychology students?,Very incompetent,Very competent
25,Trainee Engineers,Trainee Engineer,A study was conducted to investigate the aptitude of x trainee engineers. Each trainee engineer answered y questions,"The graph shows, for each trainee engineer, the number of questions answered correctly.",How well did the trainee engineers perform?,Very poorly,Very well
26,Job Satisfaction,Taxi Company,"A study was conducted to investigate job satisfaction at x taxi companies. For each company, y employees were assessed.","The graph shows, for each taxi company, the number of employees who reported liking their job.",How satisfied were employees with their jobs?,Very dissatisfied,Very satisfied
27,Climbing Shoes,Climbing Shoe,A study was conducted to investigate the efficacy of x climbing shoes. Each shoe was assessed by y climbers.,"The graph shows, for each different climbing shoe, the number of climbers who noticed improvements in their climbing.",How effective were the climbing shoes at improving performance?,Very ineffective,Very effective
28,Sunscreen Products,Sunscreen Product,A study was conducted to investigate the efficacy of x sunscreen products. Each product was tested by y people.,"The graph shows, for each sunscreen product, the number of people who avoided sunburn after using the product.
",How effective were the sunscreen products?,Very ineffective,Very effective
29,Animal Breeding Programmes,Breeding Programme,A study was conducted to investigate the efficacy of x animal breeding programmes. Each breeding programme involved y animals.,"The graph shows, for each breeding programme, the number of animals that successfully produced offspring.",How effective were the breeding programmes?,Very ineffective,Very effective
30,Furniture Products,Furniture Product,A study was conducted to investigate the ease of assembly of x furniture products. Each furniture product was tested by y people.,"The graph shows, for each product, the number of people who assembled it on their first attempt.",How easy was it to assemble the furniture?,Very difficult,Very easy
31,Time Management Courses,Course,A study was conducted to investigate the efficacy of x time management courses. Each course was attended by y people.,"The graph shows, for each course, the number of people who felt it had improved their efficiency.",How effective were the time management courses?,Very ineffective,Very effective
32,Insurance Policies,Insurance Policy,A study was conducted to investigate attitudes towards x insurance policies. Each policy was reviewed by y policy holders.,"The graph shows, for each insurance policy, the number of people who thought their policy was good value for money.",How satisfied were people with the insurance policy prices?,Very dissatisfied,Very satisfied
33,Concert Sound Systems,Concert Sound System,A study was conducted to investigate the volume levels of x concert sound systems. Each sound system was assessed by y people.,"The graph shows, for each concert sound system, the number of people who reported satisfactory volume levels.",How suitable were the concert sound systems?,Very unsuitable,Very suitable
34,Animal Health,Farm,"A study was conducted to investigate animal health at x large farms. At each farm, y animals were tested.","The graph shows, for each farm, the number of animals that were free from disease.",How healthy were the animals?,Very unhealthy,Very healthy
35,Bread Consumption,County,A study was conducted to investigate bread consumption in x different UK counties. y people from each county participated in the survey.,"The graph shows, for each county, the number of people who ate bread daily.",How common was daily bread consumption?,Very uncommon,Very common
36,Card Payments,Supermarket,"A study was conducted to investigate card payments in x supermarkets. At each supermarket, y shoppers were surveyed.","The graph shows, for each supermarket, the number of shoppers who paid by card. ",How common was it to pay by card?,Very uncommon,Very common
37,Pension Schemes,Company,"A study was conducted to investigate pension scheme enrolment in x companies. For each company, y employees were assessed.","The graph shows, for each company, how many of the employees had completed the health and safety training.",How common was it for employees to complete this training?,Very uncommon,Very common
38,Train Companies,Train Company,"A study was conducted to investigate the punctuality of x train companies. For each train company, y trains were assessed.","The graph shows, for each train company, the number of trains which arrived on time.",How punctual were the trains?,Very unpunctual,Very punctual
39,Plant Fertilisers,Plant Fertiliser,A study was conducted to investigate the efficacy of x plant fertilisers. Each fertiliser was used on y different seeds.,"The graph shows, for each fertiliser, the number of seeds which germinated. ",How effective were the plant fertilisers?,Very ineffective,Very effective
40,Video Games,Video Game,A study was conducted to investigate issues in x new video games. Each game was tested by y gamers.,"The graph shows, for each video game, the number of gamers who found issues.",How frequently were issues found in these games?,Very infrequently,Very frequently
41,Staying on Task,Item,You are expected to stay on task throughout this experiment. Read the following instructions closely.,"For this trial, ignore the graph. Move the marker all the way to the ‘Very ineffective’ end of the scale",How have you been asked to respond in this trial?,Very ineffective,Very effective
42,Reading Carefully,Category,You are expected to read carefully throughout this experiment. Read the following instructions closely.,"For this trial, ignore the graph. Move the marker all the way to the ‘Very unsuccessful’ end of the scale",How have you been asked to respond in this trial?,Very unsuccessful,Very successful
43,Answering Questions,Variable,You are expected to answer questions properly throughout this experiment. Read the following instructions closely.,"For this trial, ignore the graph. Move the marker to the middle of the scale.",How have you been asked to respond in this trial?,Very poorly,Very well
44,Paying Attention,Group,You are expected to pay attention throughout this experiment. Read the following instructions carefully.,"For this trial, ignore the graph. Move the marker to the middle of the scale.",How have you been asked to respond in this trial?,Very unpopular,Very popular
45,Meaningful Responses,Type,You are expected to provide meaningful responses throughout this experiment. Read the following instructions carefully.,"For this trial, ignore the graph. Move the marker all the way to the ‘Very frequently’ end of the scale",How have you been asked to respond in this trial?,Very infrequently,Very frequently
46,Reading Information ,Class,You are expected to read all information presented throughout this experiment. Read the following instructions carefully.,"For this trial, ignore the graph. Move the marker all the way to the ‘Very common’ end of the scale",How have you been asked to respond in this trial?,Very uncommon,Very common